"","x"
"1","A00028185"
"2","A00028352"
"3","A00032875"
"4","A00033747"
"5","A00034854"
"6","A00035072"
"7","A00035840"
"8","A00037112"
"9","A00038642"
"10","A00038998"
"11","A00039391"
"12","A00040151"
"13","A00040193"
"14","A00040573"
"15","A00040623"
"16","A00040628"
"17","A00040640"
"18","A00040944"
"19","A00043299"
"20","A00043520"
"21","A00043677"
"22","A00043704"
"23","A00043721"
"24","A00043722"
"25","A00043998"
"26","A00045590"
"27","A00050940"
"28","A00051539"
"29","A00051548"
"30","A00051676"
"31","A00051927"
"32","A00052125"
"33","A00052181"
"34","A00052340"
"35","A00052500"
"36","A00052560"
"37","A00053455"
"38","A00053473"
"39","A00053475"
"40","A00053850"
"41","A00053851"
"42","A00053902"
"43","A00054019"
"44","A00054441"
"45","A00054504"
"46","A00054857"
"47","A00054914"
"48","A00055121"
"49","A00055447"
"50","A00055542"
"51","A00055763"
"52","A00055806"
"53","A00056097"
"54","A00056306"
"55","A00056452"
"56","A00056556"
"57","A00056627"
"58","A00056898"
"59","A00056949"
"60","A00057005"
"61","A00057035"
"62","A00057235"
"63","A00057372"
"64","A00057786"
"65","A00057808"
"66","A00057965"
"67","A00058214"
"68","A00058218"
"69","A00058503"
"70","A00058552"
"71","A00058667"
"72","A00058999"
"73","A00059344"
"74","A00059346"
"75","A00059428"
"76","A00059756"
"77","A00059845"
"78","A00059911"
"79","A00060006"
"80","A00060093"
"81","A00060169"
"82","A00060259"
"83","A00060279"
"84","A00060372"
"85","A00060407"
"86","A00060430"
"87","A00060471"
"88","A00060480"
"89","A00060516"
"90","A00060632"
"91","A00060848"
"92","A00060925"
"93","A00061204"
"94","A00061276"
"95","A00061387"
"96","A00061709"
"97","A00061711"
"98","A00061806"
"99","A00062210"
"100","A00062248"
"101","A00062266"
"102","A00062282"
"103","A00062288"
"104","A00062351"
"105","A00062917"
"106","A00062934"
"107","A00062942"
"108","A00063103"
"109","A00063326"
"110","A00063589"
"111","A00064081"
