"","x"
"1","A00028185"
"2","A00032875"
"3","A00033747"
"4","A00035072"
"5","A00035840"
"6","A00037112"
"7","A00037848"
"8","A00038642"
"9","A00040623"
"10","A00040628"
"11","A00040640"
"12","A00043299"
"13","A00043520"
"14","A00043677"
"15","A00043704"
"16","A00043721"
"17","A00043998"
"18","A00045590"
"19","A00050940"
"20","A00051539"
"21","A00051548"
"22","A00051927"
"23","A00052125"
"24","A00052181"
"25","A00052500"
"26","A00052560"
"27","A00053455"
"28","A00053473"
"29","A00053475"
"30","A00053850"
"31","A00053851"
"32","A00053902"
"33","A00054441"
"34","A00054504"
"35","A00054857"
"36","A00054914"
"37","A00055121"
"38","A00055373"
"39","A00055806"
"40","A00056306"
"41","A00056556"
"42","A00056627"
"43","A00057005"
"44","A00057035"
"45","A00057182"
"46","A00057203"
"47","A00057235"
"48","A00057372"
"49","A00057786"
"50","A00057808"
"51","A00057965"
"52","A00058214"
"53","A00058218"
"54","A00058503"
"55","A00058552"
"56","A00059344"
"57","A00059346"
"58","A00059428"
"59","A00059756"
"60","A00059911"
"61","A00060006"
"62","A00060093"
"63","A00060169"
"64","A00060259"
"65","A00060279"
"66","A00060372"
"67","A00060430"
"68","A00060480"
"69","A00060516"
"70","A00060848"
"71","A00060925"
"72","A00061204"
"73","A00061276"
"74","A00061387"
"75","A00061711"
"76","A00062248"
"77","A00062266"
"78","A00062282"
"79","A00062288"
"80","A00062351"
"81","A00062934"
"82","A00062942"
"83","A00063008"
"84","A00063103"
"85","A00063326"
"86","A00063589"
"87","A00064081"
