"","x"
"1","A00028185"
"2","A00033747"
"3","A00034854"
"4","A00035072"
"5","A00035840"
"6","A00037112"
"7","A00037848"
"8","A00038642"
"9","A00038998"
"10","A00039391"
"11","A00039431"
"12","A00040151"
"13","A00040193"
"14","A00040623"
"15","A00040628"
"16","A00040640"
"17","A00040944"
"18","A00043299"
"19","A00043520"
"20","A00043704"
"21","A00043721"
"22","A00043722"
"23","A00043998"
"24","A00045590"
"25","A00050940"
"26","A00051539"
"27","A00051548"
"28","A00051676"
"29","A00051927"
"30","A00052125"
"31","A00052500"
"32","A00052560"
"33","A00053455"
"34","A00053473"
"35","A00053851"
"36","A00053902"
"37","A00054019"
"38","A00054441"
"39","A00054504"
"40","A00054857"
"41","A00054914"
"42","A00055121"
"43","A00055373"
"44","A00055447"
"45","A00055542"
"46","A00055763"
"47","A00056097"
"48","A00056306"
"49","A00056452"
"50","A00056556"
"51","A00056627"
"52","A00056949"
"53","A00057005"
"54","A00057035"
"55","A00057182"
"56","A00057235"
"57","A00057372"
"58","A00057444"
"59","A00057786"
"60","A00057808"
"61","A00057965"
"62","A00058214"
"63","A00058218"
"64","A00058552"
"65","A00058952"
"66","A00058999"
"67","A00059344"
"68","A00059346"
"69","A00059845"
"70","A00059911"
"71","A00060006"
"72","A00060093"
"73","A00060169"
"74","A00060259"
"75","A00060279"
"76","A00060372"
"77","A00060407"
"78","A00060430"
"79","A00060471"
"80","A00060480"
"81","A00060516"
"82","A00060632"
"83","A00060848"
"84","A00060925"
"85","A00061204"
"86","A00061276"
"87","A00061387"
"88","A00061711"
"89","A00061806"
"90","A00062210"
"91","A00062248"
"92","A00062266"
"93","A00062282"
"94","A00062288"
"95","A00062351"
"96","A00062917"
"97","A00062934"
"98","A00062942"
"99","A00063008"
"100","A00063103"
"101","A00063326"
"102","A00063368"
"103","A00063589"
"104","A00064081"
